parish,point_name,lat,long
União das freguesias de Matosinhos e Leça da Palmeira,União das freguesias de Matosinhos e Leça da Palmeira3,41.1895477874834,-8.700125178943145
União das freguesias de Matosinhos e Leça da Palmeira,União das freguesias de Matosinhos e Leça da Palmeira4,41.20670116152864,-8.704154051094243
Cidade da Maia,Cidade da Maia1,41.23367753784838,-8.619963229857966
Cidade da Maia,Cidade da Maia2,41.23509225683034,-8.632200287428367
Cidade da Maia,Cidade da Maia3,41.2166775298441,-8.60579066593011
Cidade da Maia,Cidade da Maia4,41.23616033796035,-8.604819513940551
Campanhã,Campanhã1,41.150808214050635,-8.582939614820939
Campanhã,Campanhã2,41.166317061989915,-8.582284525793305
Campanhã,Campanhã3,41.1678706872946,-8.571272414929659
Campanhã,Campanhã4,41.152359533290436,-8.56729669946593
Águas Santas,Águas Santas1,41.20537647850856,-8.57935775808686
Águas Santas,Águas Santas2,41.203532272599894,-8.592009164078204
Águas Santas,Águas Santas3,41.20411383324939,-8.566111842039918
Águas Santas,Águas Santas4,41.22414172719695,-8.567966581308948
Canidelo,Canidelo1,41.134219960604995,-8.644999995973095
Canidelo,Canidelo2,41.12081391488806,-8.645036993064176
Canidelo,Canidelo3,41.120089807049574,-8.660087482873347
Canidelo,Canidelo4,41.13630074113908,-8.662187082237002
Oliveira Do Douro,Oliveira Do Douro1,41.13299904644503,-8.578967766655131
Oliveira Do Douro,Oliveira Do Douro2,41.132992397034435,-8.59304146099268
Oliveira Do Douro,Oliveira Do Douro3,41.119072476402,-8.578251511061188
Oliveira Do Douro,Oliveira Do Douro4,41.116244393126934,-8.590526086286808
Baguim Do Monte (Rio Tinto),Baguim Do Monte (Rio Tinto)1,41.187422299441465,-8.529548986662673
Baguim Do Monte (Rio Tinto),Baguim Do Monte (Rio Tinto)2,41.19721548420418,-8.528324160017545
Baguim Do Monte (Rio Tinto),Baguim Do Monte (Rio Tinto)3,41.18701840813261,-8.542683453006203
Baguim Do Monte (Rio Tinto),Baguim Do Monte (Rio Tinto)4,41.19667369421916,-8.542978732659424
Vilar De Andorinho,Vilar De Andorinho1,41.09604601208631,-8.584430926271093
Vilar De Andorinho,Vilar De Andorinho2,41.10559653725012,-8.581726418902004
Vilar De Andorinho,Vilar De Andorinho3,41.106562589770256,-8.568098118458323
Vilar De Andorinho,Vilar De Andorinho4,41.09319056319746,-8.564934072072873
"União das freguesias de Custóias, Leça do Balio e Guifões","União das freguesias de Custóias, Leça do Balio e Guifões1",41.199741894177905,-8.659609114523972
"União das freguesias de Custóias, Leça do Balio e Guifões","União das freguesias de Custóias, Leça do Balio e Guifões2",41.21825773453007,-8.653847234109024
"União das freguesias de Custóias, Leça do Balio e Guifões","União das freguesias de Custóias, Leça do Balio e Guifões3",41.217833805808226,-8.629845431902668
"União das freguesias de Custóias, Leça do Balio e Guifões","União das freguesias de Custóias, Leça do Balio e Guifões4",41.199680662776785,-8.629887449589676
Madalena,Madalena1,41.103642095050255,-8.658646727162251
Madalena,Madalena2,41.10370223002839,-8.650061360733947
Madalena,Madalena3,41.11313714205632,-8.63667902639311
Madalena,Madalena4,41.10422377897215,-8.640395894640214
Paranhos,Paranhos1,41.16935879730193,-8.613971858870686
Paranhos,Paranhos2,41.178971370184605,-8.6135544995602
Paranhos,Paranhos3,41.17376243752177,-8.599310627620946
Paranhos,Paranhos4,41.17519255612231,-8.586915557926298
União das freguesias de Gulpilhares e Valadares,União das freguesias de Gulpilhares e Valadares1,41.075900861854635,-8.627101502924438
União das freguesias de Gulpilhares e Valadares,União das freguesias de Gulpilhares e Valadares2,41.09445496322633,-8.63027111313563
